"x of ","x of "
"Order not found.","Order not found."
"Not available.","Not available."
"Order Canceled.","Order Canceled."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"Payment for order #%1","Payment for order #%1"
"Payment link","Payment link"
"Awaiting payment of the boleto.","Awaiting payment of the boleto."
"Awaiting payment of the Getpay.","Awaiting payment of the Getpay."
"Awaiting payment of the Pix.","Awaiting payment of the Pix."
"Gateway rejected the transaction.","Gateway rejected the transaction."
Credit,Credit
Debit,Debit
Pix,Pix
"Qr Code","Qr Code"
Production,Production
"Sandbox - Environment for tests","Sandbox - Environment for tests"
"Attention, a new cookie will be created.","Attention, a new cookie will be created."
"Adjust your cookie information page.","Adjust your cookie information page."
"New cookie name: ""thx_guid""","New cookie name: ""thx_guid"""
"Description of use: User identification cookie with Getnet payment method.","Description of use: User identification cookie with Getnet payment method."
"Configure credentials first","Configure credentials first"
"Payment callback PIX","Payment callback PIX"
"Enter your store url followed by ""getnet/notification/pix/seller_id/%1/","Enter your store url followed by ""getnet/notification/pix/seller_id/%1/"
"Example: https://yourstoreurl.com/getnet/notification/pix/seller_id/%1/","Example: https://yourstoreurl.com/getnet/notification/pix/seller_id/%1/"
"Callback from boleto","Callback from boleto"
"Enter your store url followed by ""getnet/notification/boleto/seller_id/%1/","Enter your store url followed by ""getnet/notification/boleto/seller_id/%1/"
"Example: https://yourstoreurl.com/getnet/notification/boleto/seller_id/%1/","Example: https://yourstoreurl.com/getnet/notification/boleto/seller_id/%1/"
Authorize,Authorize
"Authorize and Capture","Authorize and Capture"
Order,Order
Configure,Configure
Close,Close
"Cash Carry","Cash Carry"
"Digital Content","Digital Content"
"Digital Goods","Digital Goods"
"Digital Physical","Digital Physical"
"Gift Card","Gift Card"
"Physical Goods","Physical Goods"
"Renew Subs","Renew Subs"
Shareware,Shareware
Service,Service
"Please select","Please select"
"1st line of the street","1st line of the street"
"2st line of the street","2st line of the street"
"3st line of the street","3st line of the street"
"4st line of the street","4st line of the street"
"by customer form (taxvat - customer account)","by customer form (taxvat - customer account)"
"by address form (vat_id - checkout)","by address form (vat_id - checkout)"
"Juros Simples","Juros Simples"
"Juros Composto","Juros Composto"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
Finished,Finished
"Token Refresh Successfully.","Token Refresh Successfully."
"Error saving information in database: %1","Error saving information in database: %1"
"Refresh Token Error: %1","Refresh Token Error: %1"
"Token update request error: %1","Token update request error: %1"
Getnet,Getnet
Due,Due
Instruction,Instruction
"Credit Card Holder Tax Document","Credit Card Holder Tax Document"
"Credit Card Holder Phone","Credit Card Holder Phone"
"Format: (99)99999-9999","Format: (99)99999-9999"
"Credit Card Holder Full Name","Credit Card Holder Full Name"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Select Instalmment","Select Instalmment"
ending,ending
expires,expires
"Your payment is valid until","Your payment is valid until"
"Barcode of your Boleto is","Barcode of your Boleto is"
"Link to Pay","Link to Pay"
"Download the Boleto","Download the Boleto"
"Nosso Número","Nosso Número"
"Document Number","Document Number"
"Issued on behalf of","Issued on behalf of"
Taxvat,Taxvat
"Pay Here","Pay Here"
"To pay, read the QRCode","To pay, read the QRCode"
"Or if you prefer, copy and paste the code","Or if you prefer, copy and paste the code"
"The Boleto barcode is","The Boleto barcode is"
Copy,Copy
QrCode,QrCode
Copied,Copied
"Payer Full Name","Payer Full Name"
"Payer Tax Document","Payer Tax Document"
"Boleto Information","Boleto Information"
Waiting...,Waiting...
"Place Order","Place Order"
"Credit Card Information","Credit Card Information"
"What is this?","What is this?"
