"x of ","x de "
"Order not found.","Pedido não encontrado."
"Not available.","Não disponível."
"Order Canceled.","Pedido Cancelado."
"Transaction has been declined. Please try again later.","Transação não pode ser processada. Por favor tente de novo mais tarde."
"Payment for order #%1","Pagamento do pedido #%1"
"Payment link","Link de pagamento"
"Awaiting payment of the boleto.","Aguardando pagamento do Boleto."
"Awaiting payment of the Getpay.","Aguardando pagamento via Getpay."
"Awaiting payment of the Pix.","Aguardando pagamento do Pix."
"Awaiting payment of the Wallet.","Aguardando pagamento via Wallet."
"Gateway rejected the transaction.","Transação rejeitada."
Credit,Crédito
Debit,Débito
Pix,Pix
"Qr Code","Qr Code"
Production,Produção
Homolog,Homologação
"Sandbox - Environment for tests","Sandbox - Ambiente de teste"
"Attention, a new cookie will be created.","Atenção, um novo cookie será criado."
"Adjust your cookie information page.","Ajuste sua página de informações de cookies."
"New cookie name: ""thx_guid""","Novo nome de cookie: ""thx_guid"""
"Description of use: User identification cookie with Getnet payment method.","Descrição de uso: Cookie de identificação do usuário com método de pagamento Getnet."
"Payment callback PIX","Callback de pagamento PIX"
"Configure credentials first","Configure primeiro a suas credenciais"
"Enter your store url followed by ""getnet/notification/pix/seller_id/%1/","Informe a url da loja seguida de ""getnet/notification/pix/seller_id/%1/"
"Example: https://yourstoreurl.com/getnet/notification/pix/seller_id/%1/","Exemplo: https://urldaloja.com.br/getnet/notification/pix/seller_id/%1/"
"Callback from boleto","Callback do boleto"
"Enter your store url followed by ""getnet/notification/boleto/seller_id/%1/","Informe a url da loja seguida de ""getnet/notification/boleto/seller_id/%1/"
"Example: https://yourstoreurl.com/getnet/notification/boleto/seller_id/%1/","Exemplo: https://urldaloja.com.br/getnet/notification/boleto/seller_id/%1/"
Authorize,Autorização
"Authorize and Capture","Autorização e Captura"
Order,Pedido
Configure,Configurar
Close,Fechar
"Cash Carry","Transporte de dinheiro"
"Digital Content","Conteúdo digital"
"Digital Goods","Produtos digitais"
"Digital Physical","Físico Digital"
"Gift Card","Cartão Presente"
"Physical Goods","Bens Físicos"
"Renew Subs","Renovar inscrições"
Shareware,Compartilhar utensílios
Service,Service
"Please select","Por favor selecione"
"1st line of the street","1ª linha do endereço"
"2st line of the street","2ª linha do endereço"
"3st line of the street","3ª linha do endereço"
"4st line of the street","4ª linha do endereço"
"by customer form (taxvat - customer account)","via formulário de cadastro (taxvat - customer account)"
"by address form (vat_id - checkout)","via formulário de endereço (vat_id - checkout)"
"Juros Simples","Juros Simples"
"Juros Composto","Juros Composto"
"Cart %1 doesn't contain products","O carrinho %1 não contém produtos"
Finished,Concluido
"Token Refresh Successfully.","Token renovado com sucesso."
"Error saving information in database: %1","Erro ao salvar a informação no banco de dados: %1"
"Refresh Token Error: %1","Erro ao renovar o token: %1"
"Token update request error: %1","Erro de solicitação de atualização de token: %1"
"Unable to get order transaction","Não foi possível obter a transação"
"Releasing payment from seller %1, for date of %2","Liberando o pagamento do vendedor %1, para a data de %2"
"Payment release requested successfully","Liberação de pagamento solicitada com sucesso"
"Error: %1, description: %2","Erro: %1, descrição: %2"
"Error creating payment, please try again later. COD: 401","Erro ao criar o pagamento. Tente novamente mais tarde. CÓDIGO: 401"
Getnet,Getnet
Due,Vencimento
Instruction,Instrução
"Credit Card Holder Tax Document","CPF/CNPJ do Titular do Cartão de Crédito"
"Credit Card Holder Phone","Telefone do Titular do Cartão de Crédito"
"Format: (99)99999-9999","Formato: (99)99999-9999"
"Credit Card Holder Full Name","Nome Impresso no Cartão de Crédito"
"Credit Card Type","Bandeira"
"Credit Card Number","Número"
"Expiration Date","Expiração"
"Card Verification Number","Código de Segurança"
"Select Instalmment","Opções de Parcelamento"
ending,final
expires,expiração
"Select card type","Selecione o tipo de cartão"
Mobile,Celular
"Your payment is valid until","Seu pagamento válido até"
"Barcode of your Boleto is","O códido de barras do seu boleto é"
"Link to Pay","Link de pagamento"
"Download the Boleto","Download do Boleto"
"Nosso Número","Nosso Número"
"Document Number","Numero do Documento"
"Issued on behalf of","Emitido em nome de"
Taxvat,Documento
"Pay Here","Pagar por aqui"
"To pay, read the QRCode","Para pagar, faça a leitura do QRCode"
"Or if you prefer, copy and paste the code","Ou se preferir, copie e cole o código"
"The Boleto barcode is","O códido de barras é"
Copy,Copiar
QrCode,QrCode
Copied,Copiado
"Payer Full Name","Nome do pagador"
"Payer Tax Document","CPF/CNPJ do Pagador"
"Boleto Information","Boleto"
Waiting...,Aguarde...
"Place Order","Finalizar Pedido"
"Credit Card Information","Cartão de crédito"
"What is this?","O que é isto?"
"CVV - Card Verification Number","CVV - Número de Verificação do Cartão"
"Expiration Month","Mês de Expiração"
"Expiration Year","Ano  de Expiração"
"Save for later use.","Salvar para uso futuro."
"A 3-digit number in italics on the back of your credit card.","Um número de 3 dígitos em itálico no verso do seu cartão de crédito."
Month,Mês
Year,Ano
"How do you want to split?","Como deseja dividir?"
"Payment Amount on the First Card","Valor de Pagamento no Primeiro Cartão"
"1º Credit Card","1º Cartão de Crédito"
"2º Credit Card","2º Cartão de Crédito"
"Minimum value","Valor mínimo"
"Maximum value","Valor máximo"
"Wallet Information","Informação da Carteira"
"Select Card type","Selecione o tipo de Cartão"
"Payer Phone","Telefone do pagador"
"%1x of %2 in the total value of %3","%1x de %2 no valor total de %3"
"%1x of %2 not interest","%1x of %2 sem juros"
"Credit card number does not match credit card type.","O número do cartão de crédito não corresponde ao tipo de cartão de crédito."
"Please enter a valid credit card type number.","Insira um número de tipo de cartão de crédito válido."
"Please enter a valid credit card number.","Por favor digite um número de cartão de crédito válido."
"Incorrect credit card expiration month.","Mês de vencimento do cartão de crédito incorreto."
"Please enter a valid credit card verification number.","Insira um número de verificação de cartão de crédito válido."
"Incorrect credit card expiration year.","Ano de expiração do cartão de crédito incorreto."
"The value is not within the specified range.","O valor não está dentro do intervalo especificado."
"Credit Card","Cartão de Crédito"
"Debit Card","Cartão de Débito"
"Payment Services","Serviços de pagamento"
Orders,Pedidos
Actions,Ações
"Payment Tokenize","Pagamento Tokenizado"
"<div class='getnet-payment-logo'></div><div class='getnet-payment-byline'><p><b>Pagamentos Digitais Getnet</b></p><p>Com os Pagamentos Digitais Getnet, você tem acesso a soluções completas para oferecer a melhor experiência de pagamento online. Além disso, você pode contar com uma tecnologia de ponta e segurança em todas as transações.</p></div>","<div class='getnet-payment-logo'></div><div class='getnet-payment-byline'><p><b>Pagamentos Digitais Getnet</b></p><p>Com os Pagamentos Digitais Getnet, você tem acesso a soluções completas para oferecer a melhor experiência de pagamento online. Além disso, você pode contar com uma tecnologia de ponta e segurança em todas as transações.</p></div>"
"Technical support available <a href=""https://github.com/getnet-adquirencia/payment-magento/issues/new/choose"">here</a>.","Suporte técnico disponível <a href=""https://github.com/getnet-adquirencia/payment-magento/issues/new/choose"">aqui</a>."
Credentials,Credenciais
"Configure the settings for your store.","Defina as configurações para sua loja."
"Statement Descriptor","Nome da Loja"
Environment,Ambiente
"Dynamic Mcc","Dinâmico Mcc"
Environment,Ambiente
"Seller Id - production","Seller Id - Produção"
"Client Id - production","Client Id - Produção"
"Client Secret - production","Client Secret - Produção"
"Seller Id - homolog","Seller Id - Homologação"
"Client Id - homolog","Client Id - Homologação"
"Client Secret - homolog","Client Secret - Homologação"
"Seller Id - Sandbox","Seller Id - Sandbox"
"Client Id - Sandbox","Client Id - Sandbox"
"Client Secret - Sandbox","Client Secret - Sandbox"
Debug,Debug
"Attention, you cannot use debug in production mode.","Atenção, você não pode usar depuração no modo de produção."
"Cartão de Crédito","Cartão de Crédito"
"Receive American Express, Elo, Mastercard, Visa and Hipercard credit card transactions.","Receba transações com cartões de crédito American Express, Elo, Mastercard, Visa e Hipercard."
Enabled,Habilitar
Title,Título
"Enabled Vault","Habilitar Cofre (vault)"
"Credit Card Types","Tipos de Cartão de Crédito"
"Minimum Order Total","Valor mínimo de pedido"
"Maximum Order Total","Valor máximo de pedido"
"Payment From Applicable Countries","Pagamento dos países aplicáveis"
"Payment From Specific Countries","Pagamento de países específicos"
"Sort Order","Order de exibição"
"Payment Action","Ação do Pagamento"
"Payer Data Capture","Captura de dados do pagador"
"Define the payment form data capture","Capture os dados do pagador no formulário de pagamento"
"Capture tax document (CPF or CNPJ) in the payment form?","Capturar documento fiscal (CPF ou CNPJ) na guia de pagamento?"
"Capture phone in the payment form?","Capturar telefone no formulário de pagamento?"
"Installment and interest","Parcelamento e Juros"
"Minimum value of installment","Valor mínimo da parcela"
"Maximum number of installments","Número máximo de parcelas"
"Interest on the 2nd tranche","Juros da 2ª parcela"
"Interest on the 3nd tranche","Juros da 3ª parcela"
"Interest on the 4nd tranche","Juros da 4ª parcela"
"Interest on the 5nd tranche","Juros da 5ª parcela"
"Interest on the 6nd tranche","Juros da 6ª parcela"
"Interest on the 7nd tranche","Juros da 7ª parcela"
"Interest on the 8nd tranche","Juros da 8ª parcela"
"Interest on the 9nd tranche","Juros da 9ª parcela"
"Interest on the 10nd tranche","Juros da 10ª parcela"
"Interest on the 11nd tranche","Juros da 11ª parcela"
